0	-2.98E-02
0.001	-2.35E-02
0.002	-1.10E-02
0.003	-2.98E-02
0.004	-1.10E-02
0.005	-1.73E-02
0.006	-1.10E-02
0.007	-1.73E-02
0.008	-1.10E-02
0.009	-4.75E-03
0.01	-4.75E-03
0.011	-2.35E-02
0.012	-1.10E-02
0.013	1.50E-03
0.014	-1.73E-02
0.015	-1.73E-02
0.016	-1.10E-02
0.017	-1.73E-02
0.018	-1.10E-02
0.019	-2.35E-02
0.02	-1.73E-02
0.021	-2.35E-02
0.022	-2.35E-02
0.023	-2.35E-02
0.024	-2.35E-02
0.025	-1.73E-02
0.026	-1.73E-02
0.027	-1.73E-02
0.028	-1.10E-02
0.029	-1.10E-02
0.03	1.50E-03
0.031	1.50E-03
0.032	-4.75E-03
0.033	7.75E-03
0.034	7.75E-03
0.035	1.50E-03
0.036	1.50E-03
0.037	1.50E-03
0.038	-4.75E-03
0.039	-4.75E-03
0.04	-1.10E-02
0.041	1.50E-03
0.042	-4.75E-03
0.043	-4.75E-03
0.044	1.50E-03
0.045	-1.73E-02
0.046	1.50E-03
0.047	-1.73E-02
0.048	-4.75E-03
0.049	1.50E-03
0.05	-4.75E-03
0.051	1.40E-02
0.052	7.75E-03
0.053	7.75E-03
0.054	1.40E-02
0.055	1.50E-03
0.056	1.40E-02
0.057	7.75E-03
0.058	7.75E-03
0.059	1.50E-03
0.06	7.75E-03
0.061	1.50E-03
0.062	1.50E-03
0.063	1.50E-03
0.064	1.50E-03
0.065	-4.75E-03
0.066	1.50E-03
0.067	-1.73E-02
0.068	-1.73E-02
0.069	-2.35E-02
0.07	-2.98E-02
0.071	-2.35E-02
0.072	-2.35E-02
0.073	-2.35E-02
0.074	-1.10E-02
0.075	-2.35E-02
0.076	-2.35E-02
0.077	-2.35E-02
0.078	-2.35E-02
0.079	-2.35E-02
0.08	-2.98E-02
0.081	-1.10E-02
0.082	-1.10E-02
0.083	-1.73E-02
0.084	-1.10E-02
0.085	-1.73E-02
0.086	-1.10E-02
0.087	-2.35E-02
0.088	-4.75E-03
0.089	-1.73E-02
0.09	-1.73E-02
0.091	-4.75E-03
0.092	-1.10E-02
0.093	-1.73E-02
0.094	1.50E-03
0.095	-4.75E-03
0.096	1.50E-03
0.097	-4.75E-03
0.098	1.50E-03
0.099	1.50E-03
0.1	-1.10E-02
0.101	1.50E-03
0.102	1.50E-03
0.103	1.50E-03
0.104	7.75E-03
0.105	1.50E-03
0.106	-4.75E-03
0.107	-4.75E-03
0.108	-4.75E-03
0.109	-4.75E-03
0.11	-4.75E-03
0.111	-4.75E-03
0.112	7.75E-03
0.113	1.50E-03
0.114	-1.10E-02
0.115	-1.10E-02
0.116	-4.75E-03
0.117	-1.73E-02
0.118	-1.73E-02
0.119	-1.10E-02
0.12	1.50E-03
0.121	1.50E-03
0.122	-1.10E-02
0.123	-4.75E-03
0.124	-4.75E-03
0.125	-1.73E-02
0.126	-4.75E-03
0.127	-1.73E-02
0.128	-1.73E-02
0.129	-2.35E-02
0.13	-4.75E-03
0.131	-4.75E-03
0.132	-2.35E-02
0.133	-1.10E-02
0.134	-4.75E-03
0.135	-1.10E-02
0.136	-1.73E-02
0.137	-1.10E-02
0.138	-4.75E-03
0.139	-2.35E-02
0.14	-1.73E-02
0.141	7.75E-03
0.142	-4.75E-03
0.143	-4.75E-03
0.144	1.50E-03
0.145	1.50E-03
0.146	7.75E-03
0.147	7.75E-03
0.148	1.50E-03
0.149	7.75E-03
0.15	7.75E-03
0.151	7.75E-03
0.152	7.75E-03
0.153	7.75E-03
0.154	7.75E-03
0.155	-4.75E-03
0.156	-1.10E-02
0.157	-1.10E-02
0.158	-1.73E-02
0.159	-3.60E-02
0.16	-1.73E-02
0.161	-2.98E-02
0.162	-2.35E-02
0.163	-1.73E-02
0.164	-2.98E-02
0.165	-2.98E-02
0.166	-1.73E-02
0.167	-2.35E-02
0.168	-1.73E-02
0.169	-2.35E-02
0.17	-1.73E-02
0.171	-1.73E-02
0.172	-1.73E-02
0.173	-4.75E-03
0.174	-1.73E-02
0.175	-1.73E-02
0.176	-4.75E-03
0.177	-4.75E-03
0.178	1.50E-03
0.179	1.50E-03
0.18	7.75E-03
0.181	1.40E-02
0.182	7.75E-03
0.183	1.40E-02
0.184	2.03E-02
0.185	2.03E-02
0.186	1.40E-02
0.187	1.40E-02
0.188	7.75E-03
0.189	1.50E-03
0.19	1.50E-03
0.191	1.50E-03
0.192	-1.10E-02
0.193	1.50E-03
0.194	-1.10E-02
0.195	-4.75E-03
0.196	-4.75E-03
0.197	-1.10E-02
0.198	-1.10E-02
0.199	-1.73E-02
0.2	-1.10E-02
0.201	-1.73E-02
0.202	-2.35E-02
0.203	-1.73E-02
0.204	-2.35E-02
0.205	-1.73E-02
0.206	-1.73E-02
0.207	-3.60E-02
0.208	-2.35E-02
0.209	-1.73E-02
0.21	-3.60E-02
0.211	-2.35E-02
0.212	-2.98E-02
0.213	-2.35E-02
0.214	-2.35E-02
0.215	-1.10E-02
0.216	-4.75E-03
0.217	-1.10E-02
0.218	1.50E-03
0.219	1.50E-03
0.22	1.50E-03
0.221	1.50E-03
0.222	-4.75E-03
0.223	1.50E-03
0.224	1.50E-03
0.225	-4.75E-03
0.226	-4.75E-03
0.227	1.50E-03
